step,batch,lr,loss,perplexity,ms_per_step,s_per_norm_seq,delta_word,delta_char1
10,10,1e-5,5.302104,200.7587,11139.19,11.0443,0.000373,0.035647
20,20,2e-5,4.512409,91.1411,11018.70,10.9887,0.001594,0.034672
30,30,3.0000001e-5,3.680564,39.6688,10834.08,10.7543,0.001589,0.031569
40,40,4e-5,3.084108,21.8480,10181.21,11.0021,0.001561,0.028098
50,50,5e-5,2.845441,17.2092,10986.14,10.9264,0.001764,0.026387
60,60,6.0000002e-5,2.665454,14.3745,10865.61,11.3326,0.001974,0.024515
70,70,6.9999995e-5,2.405555,11.0846,11370.94,11.3532,0.001968,0.022376
80,80,8e-5,2.463320,11.7437,11288.75,11.3732,0.002360,0.022720
90,90,8.9999994e-5,2.384331,10.8518,11321.50,11.2906,0.002283,0.021994
100,100,1e-4,2.218023,9.1891,11206.51,11.1477,0.002556,0.021375
110,110,1.1e-4,2.179474,8.8417,10525.85,11.1740,0.002902,0.022064
120,120,1.20000004e-4,2.114398,8.2846,10979.62,11.1561,0.003004,0.021314
130,130,1.2999999e-4,2.123307,8.3587,10602.00,11.3943,0.003291,0.021319
140,140,1.3999999e-4,2.033882,7.6437,11356.53,11.2816,0.003173,0.020914
150,150,1.4999999e-4,1.979537,7.2394,10798.95,11.2379,0.003662,0.020852
160,160,1.6e-4,1.979806,7.2413,11270.63,11.2290,0.003658,0.020611
170,170,1.7e-4,2.089855,8.0837,10197.30,11.1299,0.004041,0.021132
180,180,1.7999999e-4,1.988809,7.3068,11218.28,11.1573,0.004256,0.020200
190,190,1.8999999e-4,2.001283,7.3985,11492.11,11.4519,0.004321,0.020402
200,200,1.9983227e-4,2.077428,7.9839,10509.89,11.1087,0.004251,0.020336
210,210,1.9981508e-4,2.104777,8.2053,10086.14,11.1632,0.004401,0.018549
220,220,1.9979705e-4,1.863622,6.4470,11806.99,11.7840,0.004417,0.018492
230,230,1.997782e-4,1.797561,6.0349,10452.77,11.0097,0.004480,0.018369
240,240,1.997585e-4,1.912194,6.7679,10408.83,11.0728,0.004966,0.018578
250,250,1.9973796e-4,1.987367,7.2963,10670.78,11.0574,0.004869,0.018788
260,260,1.997166e-4,1.816991,6.1533,12267.35,12.1159,0.004393,0.017111
270,270,1.9969439e-4,1.782000,5.9417,12259.67,12.1717,0.004383,0.016898
280,280,1.9967135e-4,1.709882,5.5283,11642.47,11.5949,0.004276,0.016534
290,290,1.9964747e-4,1.608194,4.9938,13220.02,13.1456,0.004504,0.016625
300,300,1.9962277e-4,1.702743,5.4890,12522.07,13.1757,0.004514,0.016442
310,310,1.9959721e-4,1.699794,5.4728,12672.54,13.6224,0.004727,0.016479
320,320,1.9957083e-4,1.816660,6.1513,13693.76,13.5718,0.004741,0.017153
330,330,1.9954362e-4,1.782507,5.9447,11405.32,13.6406,0.004646,0.016592
340,340,1.9951556e-4,1.703076,5.4908,13793.57,13.7292,0.004715,0.015771
350,350,1.9948668e-4,1.830790,6.2388,13760.24,13.7014,0.004490,0.015845
360,360,1.9945696e-4,1.716511,5.5651,13213.08,13.5900,0.004550,0.015579
370,370,1.994264e-4,1.637850,5.1441,13268.01,13.2010,0.004847,0.015979
380,380,1.9939501e-4,1.635735,5.1332,12956.58,13.3396,0.005160,0.016399
390,390,1.993628e-4,1.739322,5.6935,13066.37,13.3320,0.005378,0.016824
400,400,1.9932975e-4,1.739035,5.6918,14370.80,14.3149,0.004700,0.015812
410,410,1.9929587e-4,1.648903,5.2013,13643.85,13.5776,0.004569,0.014725
420,420,1.9926114e-4,1.655832,5.2374,12687.25,13.4937,0.004524,0.015459
430,430,1.992256e-4,1.609696,5.0013,13433.43,13.6684,0.004469,0.014933
440,440,1.991892e-4,1.634874,5.1288,13411.12,13.6946,0.004683,0.014564
450,450,1.99152e-4,1.590801,4.9077,13514.23,13.4958,0.004744,0.014695
460,460,1.9911396e-4,1.498334,4.4742,13549.90,13.5314,0.004801,0.013865
470,470,1.9907509e-4,1.386509,4.0009,13197.30,13.7617,0.005099,0.013121
480,480,1.9903539e-4,1.487053,4.4240,13823.15,13.7027,0.005255,0.015136
490,490,1.9899487e-4,1.584316,4.8760,13272.38,13.7060,0.005423,0.015220
500,500,1.989535e-4,1.707059,5.5127,13357.42,13.6018,0.005589,0.015839
510,510,1.9891132e-4,1.449533,4.2611,13712.03,13.6906,0.005204,0.013734
520,520,1.988683e-4,1.554466,4.7326,13827.25,13.7708,0.005358,0.014477
530,530,1.9882445e-4,1.485442,4.4169,13794.75,13.7652,0.005263,0.013690
540,540,1.9877979e-4,1.567240,4.7934,12591.01,13.6900,0.005407,0.014298
550,550,1.9873428e-4,1.631974,5.1140,13916.02,13.7921,0.005168,0.014546
560,560,1.9868797e-4,1.674184,5.3344,12956.36,14.0365,0.005433,0.014236
570,570,1.9864082e-4,1.672867,5.3274,14082.04,13.9621,0.005249,0.013893
580,580,1.9859284e-4,1.660359,5.2612,13501.65,14.0277,0.005237,0.013741
590,590,1.9854403e-4,1.565179,4.7835,13727.39,13.6052,0.005520,0.014418
600,600,1.9849441e-4,1.589021,4.8990,12717.01,13.7481,0.005337,0.014078
610,610,1.9844396e-4,1.630237,5.1051,14041.22,13.9703,0.005302,0.014496
620,620,1.9839269e-4,1.516675,4.5570,13983.40,13.9182,0.004957,0.013137
630,630,1.9834058e-4,1.457981,4.2973,14135.99,14.1029,0.004947,0.012532
640,640,1.9828767e-4,1.429635,4.1772,14048.48,13.9775,0.005212,0.012740
650,650,1.9823393e-4,1.395805,4.0382,13213.16,13.8715,0.005437,0.012897
660,660,1.9817938e-4,1.510378,4.5284,13664.67,13.6301,0.005624,0.014621
670,670,1.9812399e-4,1.384210,3.9917,13890.77,13.7724,0.005433,0.012725
680,680,1.9806778e-4,1.431017,4.1829,13690.52,13.6372,0.005607,0.013526
690,690,1.9801076e-4,1.567646,4.7953,13007.73,13.8662,0.006010,0.013895
700,700,1.9795292e-4,1.380932,3.9786,13751.06,13.7082,0.005599,0.013089
710,710,1.9789426e-4,1.587077,4.8894,12850.56,13.8778,0.006216,0.014154
720,720,1.9783479e-4,1.415679,4.1193,14036.22,13.9898,0.005662,0.012262
730,730,1.9777448e-4,1.369845,3.9347,12780.85,13.7648,0.006103,0.012765
740,740,1.9771337e-4,1.395777,4.0381,13749.47,13.6641,0.006091,0.013162
750,750,1.9765143e-4,1.527887,4.6084,13933.19,13.8359,0.005907,0.013933
760,760,1.975887e-4,1.399962,4.0550,13090.98,13.5762,0.005938,0.013118
770,770,1.9752514e-4,1.332778,3.7916,13066.44,13.6170,0.005931,0.012366
780,780,1.9746076e-4,1.364060,3.9120,13782.56,13.7396,0.006924,0.012324
790,790,1.9739557e-4,1.348137,3.8502,12831.21,13.8540,0.006611,0.012381
800,800,1.9732956e-4,1.576091,4.8360,13766.47,13.7076,0.005757,0.013885
810,810,1.9726275e-4,1.373306,3.9484,13780.20,13.7186,0.005559,0.012466
820,820,1.9719511e-4,1.429922,4.1784,12626.58,13.7286,0.006281,0.013294
830,830,1.9712668e-4,1.481802,4.4009,13192.45,13.7259,0.006231,0.013196
840,840,1.9705744e-4,1.479394,4.3903,13817.24,13.7288,0.005861,0.013428
850,850,1.9698737e-4,1.436655,4.2066,13135.61,13.8071,0.006057,0.013061
860,860,1.969165e-4,1.568200,4.7980,13729.50,13.8077,0.006211,0.013926
870,870,1.9684482e-4,1.329787,3.7802,12640.44,13.5822,0.005898,0.012687
880,880,1.9677235e-4,1.371283,3.9404,13680.63,13.5693,0.006521,0.012799
890,890,1.9669905e-4,1.349647,3.8561,13699.54,13.6356,0.006241,0.013109
900,900,1.9662495e-4,1.489011,4.4327,11616.25,12.1155,0.006161,0.012975
910,910,1.9655006e-4,1.454229,4.2812,11178.18,11.1109,0.006038,0.012742
920,920,1.9647436e-4,1.341130,3.8234,10198.31,11.2801,0.006019,0.012043
930,930,1.9639783e-4,1.386958,4.0027,11146.26,11.0856,0.006266,0.012792
940,940,1.9632051e-4,1.392467,4.0248,10230.88,11.1003,0.006207,0.012876
950,950,1.962424e-4,1.493717,4.4536,10927.75,10.9620,0.006390,0.013814
960,960,1.9616348e-4,1.477201,4.3807,11029.53,10.9759,0.006392,0.013272
970,970,1.9608375e-4,1.158373,3.1847,10890.42,10.8396,0.005824,0.010713
980,980,1.9600324e-4,1.523305,4.5874,10805.45,10.8224,0.006791,0.014534
990,990,1.9592191e-4,1.329008,3.7773,10910.62,10.8534,0.006094,0.012232
1000,1000,1.9583979e-4,1.276915,3.5856,10942.08,10.8594,0.006287,0.011673
1010,1010,1.9575687e-4,1.367725,3.9264,10618.00,10.9253,0.006331,0.012347
1020,1020,1.9567317e-4,1.630351,5.1057,10937.65,10.8845,0.006249,0.014407
1030,1030,1.9558865e-4,1.550766,4.7151,11034.49,10.9660,0.005854,0.013032
1040,1040,1.9550335e-4,1.485858,4.4188,10924.71,10.8716,0.005888,0.012745
1050,1050,1.9541725e-4,1.306163,3.6920,10837.21,10.7678,0.006040,0.011932
1060,1060,1.9533036e-4,1.238333,3.4499,10833.78,10.7560,0.006118,0.011596
1070,1070,1.9524267e-4,1.296554,3.6567,9914.32,10.8836,0.006246,0.012021
1080,1080,1.9515419e-4,1.258460,3.5200,10535.82,10.9065,0.006451,0.012033
1090,1090,1.9506492e-4,1.400078,4.0555,11104.34,11.0461,0.006652,0.013123
1100,1100,1.9497485e-4,1.373483,3.9491,10031.99,10.9541,0.007112,0.012300
1110,1110,1.94884e-4,1.286582,3.6204,11006.52,10.9001,0.006725,0.012355
1120,1120,1.9479237e-4,1.300331,3.6705,11100.40,11.2677,0.006552,0.012208
1130,1130,1.9469995e-4,1.139466,3.1251,11254.56,11.1760,0.006474,0.010591
1140,1140,1.9460674e-4,1.348373,3.8512,10365.46,11.2990,0.007078,0.012173
1150,1150,1.9451273e-4,1.435980,4.2038,11533.41,11.5132,0.006205,0.012373
1160,1160,1.9441797e-4,1.268957,3.5571,11306.16,11.2973,0.006053,0.011056
1170,1170,1.9432239e-4,1.337301,3.8088,11416.87,11.3702,0.006531,0.011266
1180,1180,1.9422604e-4,1.530670,4.6213,11197.64,11.3506,0.006366,0.012725
1190,1190,1.9412891e-4,1.408339,4.0892,10665.71,11.2040,0.006160,0.011991
1200,1200,1.9403099e-4,1.257130,3.5153,11164.33,11.0521,0.006376,0.011013
1210,1210,1.939323e-4,1.257297,3.5159,11297.84,11.2605,0.006492,0.011064
1220,1220,1.9383284e-4,1.390091,4.0152,11014.28,11.2002,0.006942,0.012224
1230,1230,1.9373259e-4,1.369767,3.9344,11236.15,11.1816,0.006505,0.012039
1240,1240,1.9363155e-4,1.283545,3.6094,10821.18,11.1433,0.006699,0.011537
1250,1250,1.9352975e-4,1.250335,3.4915,10637.70,11.1999,0.007066,0.011231
1260,1260,1.9342717e-4,1.259783,3.5247,11284.66,11.2386,0.006715,0.011215
1270,1270,1.9332382e-4,1.155842,3.1767,11348.28,11.2494,0.006506,0.010607
1280,1280,1.932197e-4,1.230382,3.4225,10519.26,11.5181,0.007009,0.010754
1290,1290,1.931148e-4,1.250831,3.4932,11570.43,11.5008,0.006802,0.010533
1300,1300,1.9300914e-4,1.252076,3.4976,11215.21,11.1196,0.006561,0.010846
1310,1310,1.929027e-4,1.222032,3.3941,11190.02,11.1292,0.006485,0.010403
1320,1320,1.927955e-4,1.176839,3.2441,11755.81,11.6399,0.006718,0.010780
1330,1330,1.9268753e-4,1.188375,3.2817,11466.25,11.4261,0.006840,0.010389
1340,1340,1.9257878e-4,1.108329,3.0293,11184.68,11.1694,0.006657,0.009621
1350,1350,1.9246926e-4,1.107585,3.0270,10367.62,11.3739,0.007034,0.009612
1360,1360,1.92359e-4,1.486255,4.4205,11322.67,11.2197,0.007240,0.012481
1370,1370,1.9224797e-4,1.368733,3.9304,11292.55,11.2377,0.006737,0.010753
1380,1380,1.9213617e-4,1.368253,3.9285,11153.91,11.1322,0.006700,0.011133
1390,1390,1.9202361e-4,1.346202,3.8428,11280.45,11.2213,0.006619,0.010666
1400,1400,1.919103e-4,1.266013,3.5467,10746.84,11.2869,0.006948,0.010814
1410,1410,1.9179622e-4,1.267373,3.5515,11280.39,11.1973,0.006670,0.010803
1420,1420,1.9168138e-4,1.114460,3.0479,10339.07,11.1963,0.006697,0.009608
1430,1430,1.9156579e-4,1.176770,3.2439,11399.10,11.3217,0.007108,0.010616
1440,1440,1.9144944e-4,1.247439,3.4814,11356.68,11.2971,0.007318,0.011116
1450,1450,1.9133235e-4,1.226159,3.4081,10382.37,11.1699,0.007182,0.010816
1460,1460,1.9121448e-4,1.339846,3.8185,11194.20,11.1528,0.007025,0.011295
1470,1470,1.9109588e-4,1.257815,3.5177,11048.48,12.1287,0.007333,0.010542
1480,1480,1.9097653e-4,1.175253,3.2390,13535.16,13.3835,0.007251,0.010344
1490,1490,1.9085642e-4,1.328525,3.7755,11100.92,12.1654,0.007768,0.011917
1500,1500,1.9073555e-4,1.239791,3.4549,12063.90,11.9866,0.006639,0.010645
1510,1510,1.9061395e-4,1.258200,3.5191,11537.80,12.0019,0.007197,0.010859
1520,1520,1.9049158e-4,1.355748,3.8797,11167.97,12.0303,0.007582,0.011847
1530,1530,1.9036849e-4,1.351740,3.8641,11033.19,11.8130,0.007167,0.011325
1540,1540,1.9024465e-4,1.588866,4.8982,12036.31,12.0175,0.006919,0.012801
1550,1550,1.9012007e-4,1.408626,4.0903,11994.30,11.9593,0.006183,0.010792
1560,1560,1.8999475e-4,1.334071,3.7965,12154.64,12.1050,0.006628,0.010009
1570,1570,1.8986869e-4,1.350220,3.8583,12144.79,12.0413,0.006625,0.011151
1580,1580,1.8974188e-4,1.343486,3.8324,12054.44,11.9819,0.006488,0.011283
1590,1590,1.8961434e-4,1.230784,3.4239,11084.48,11.8779,0.006439,0.009985
1600,1600,1.8948606e-4,1.401825,4.0626,11172.61,12.1581,0.006909,0.011746
